Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/29/2025,05/01/2025,TRADER JOE S #303,Groceries,Sale,-48.34,
04/29/2025,04/30/2025,TARGET.COM,Shopping,Sale,-8.67,
04/28/2025,04/29/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.49,
04/28/2025,04/29/2025,SP LIQUID I.V.,Groceries,Sale,-69.96,
04/29/2025,04/29/2025,TARGET.COM  *,Shopping,Sale,-38.17,
04/26/2025,04/28/2025,SEPHORA PARK MEADOWS,Shopping,Sale,-53.85,
04/27/2025,04/28/2025,DOLLAR TREE,Shopping,Sale,-2.69,
04/27/2025,04/28/2025,AMAZON MKTPL*NB48D2ZO2,Shopping,Sale,-14.68,
04/27/2025,04/27/2025,MAC Park Meadows,Shopping,Sale,-18.83,
04/24/2025,04/27/2025,SOUTHWES    5262337696089,Travel,Sale,-4.00,
04/24/2025,04/24/2025,Payment Thank You-Mobile,,Payment,2675.14,
04/23/2025,04/24/2025,BENEDICT'S RESTAURANT CO,Food & Drink,Sale,-30.00,
04/23/2025,04/24/2025,CIRCLE K # 44099,Gas,Sale,-6.08,
04/23/2025,04/24/2025,STEAMGAMES.COM 4259522985,Entertainment,Sale,-49.99,
04/23/2025,04/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,21.81,
04/22/2025,04/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,43.65,
04/22/2025,04/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,25.98,
04/23/2025,04/23/2025,AMAZON MKTPLACE PMTS,Shopping,Return,29.46,
04/22/2025,04/23/2025,DEN PUBLIC PARKING,Travel,Sale,-32.00,
04/22/2025,04/23/2025,CHIPOTLE 0007,Food & Drink,Sale,-23.38,
04/22/2025,04/22/2025,Spotify USA,Bills & Utilities,Sale,-5.99,
04/18/2025,04/20/2025,QFC #5808,Groceries,Sale,-30.69,
04/18/2025,04/20/2025,QFC #5808,Groceries,Sale,-28.90,
04/18/2025,04/20/2025,GEICO  *AUTO,Bills & Utilities,Sale,-331.83,
04/18/2025,04/20/2025,EINSTEIN KIOSK - DEN,Food & Drink,Sale,-6.04,
04/18/2025,04/20/2025,SQ *CAFE AN?CLAIR,Food & Drink,Sale,-5.00,
04/18/2025,04/20/2025,TST*ITADAKI BELLEVUE,Food & Drink,Sale,-24.00,
04/18/2025,04/20/2025,IKON PASS,Entertainment,Sale,-229.00,
04/18/2025,04/18/2025,Denver Zoo,Gifts & Donations,Sale,-104.00,
04/17/2025,04/18/2025,CHIPOTLE 0007,Food & Drink,Sale,-12.85,
04/17/2025,04/18/2025,Amazon.com*322QT8FY3,Shopping,Sale,-17.39,
04/16/2025,04/17/2025,MANITOU PARKING SEC A,Travel,Sale,-6.00,
04/15/2025,04/17/2025,RMNP BEAVER MEADOWS VISIT,Shopping,Sale,-7.00,
04/15/2025,04/17/2025,ESTES PARK MOUNTAIN SHOP,Shopping,Sale,-18.65,
04/17/2025,04/17/2025,TARGET.COM  *,Shopping,Return,0.29,
04/15/2025,04/17/2025,TRENDZ RETAIL,Shopping,Sale,-20.64,
04/16/2025,04/17/2025,EINSTEIN BROS BAGELS2646,Food & Drink,Sale,-8.12,
04/16/2025,04/17/2025,MANITOU BREWING COMPAN,Food & Drink,Sale,-30.00,
04/15/2025,04/17/2025,BUC-EE'S #60,Groceries,Sale,-88.80,
04/15/2025,04/16/2025,SQ *WILD SPIRITS  LTD.,Shopping,Sale,-41.31,
04/15/2025,04/16/2025,FBF ESTES PARK,Shopping,Sale,-6.49,
04/15/2025,04/16/2025,DOLLARTREE,Shopping,Sale,-5.44,
04/15/2025,04/16/2025,AMAZON MKTPL*9N5ED4FG3,Shopping,Sale,-65.75,
04/14/2025,04/15/2025,AMAZON MKTPL*8U6QY12V3,Shopping,Sale,-15.00,
04/14/2025,04/15/2025,TST* ALOY MODERN THAI - D,Food & Drink,Sale,-120.00,
04/14/2025,04/15/2025,AMAZON MKTPL*PW7557083,Shopping,Sale,-25.89,
04/10/2025,04/11/2025,AMAZON MKTPL*2R5501S83,Shopping,Sale,-29.75,
04/09/2025,04/10/2025,AMAZON MKTPL*6N1N20ZF3,Shopping,Sale,-26.27,
04/08/2025,04/09/2025,Audible*GF0Y08RS3,Bills & Utilities,Sale,-0.99,
04/07/2025,04/09/2025,TARGET        00028209,Shopping,Sale,-2.89,
04/07/2025,04/08/2025,Amazon.com*MV8N057B3,Shopping,Sale,-28.13,
04/07/2025,04/08/2025,TARGET.COM  *,Shopping,Sale,-36.02,
